Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment
,,,,,,
A1,SMARTPRJ_FIDUCIA-MOUNT,1000.00mm,1000.00mm,T,0,SMARTPRJ_FIDUCIALMOUNT
A2,SMARTPRJ_FIDUCIA-MOUNT,1042.70mm,952.10mm,T,0,SMARTPRJ_FIDUCIALMOUNT
R8,0603-RES,1018.24mm,973.09mm,T,90,300
C1,603,1004.40mm,957.10mm,T,-90,0.1uF
C11,603,1005.70mm,986.60mm,T,-90,0.1uF
C12,603,1024.10mm,973.10mm,T,90,0.1uF
C7,603,1006.60mm,957.10mm,T,90,0.1uF
C9,603,1008.20mm,986.60mm,T,-90,0.1uF
C10,PANASONIC_D,1012.60mm,995.10mm,T,-90,100uF
C8,PANASONIC_D,1004.30mm,995.10mm,T,-90,100uF
R1,603,1034.20mm,973.10mm,T,90,10k
R2,0603-RES,1021.20mm,973.10mm,T,90,10K
R3,603,1026.70mm,973.10mm,T,90,10k
R5,603,1031.70mm,973.10mm,T,90,10k
R9,0603-RES,1020.20mm,952.30mm,T,-90,10K
R10,603,1005.70mm,982.60mm,T,-90,1k
R4,603,1029.20mm,973.10mm,T,-90,1k
R6,0603-RES,1010.90mm,952.30mm,T,90,1k
R7,0603-RES,1013.80mm,952.30mm,T,90,1k
IC2,ASM1117,1014.70mm,967.20mm,T,-90,ASM1117
D6,SOT23,1007.70mm,952.60mm,T,0,BAT54A
D7,SOT23,1017.20mm,952.60mm,T,0,BAT54A
C-TAN1,C_TANB,1011.00mm,973.30mm,T,0,C_TAN
D1,DIODE_SMD,1024.36mm,993.14mm,T,180,DIODE_SMDDO-214AA
D2,DIODE_SMD,1021.95mm,997.46mm,T,180,DIODE_SMDDO-214AA
L1,DR127,1018.89mm,983.23mm,T,-90,DR127
ESP2,ESP07,1032.20mm,960.10mm,T,-90,ESP8266_V07
JP2,IP2_PAD,994.30mm,993.50mm,T,-90,JP2_PAD
IC1,TO263-5,1035.70mm,982.10mm,T,-90,LM2596S
D8,LED-0603,1008.20mm,982.60mm,T,90,RED
S1,TACTILE-SWITCH-SMD,1040.74mm,972.71mm,T,180,TAC_SWITCHSMD
U$2,SSOP24,999.20mm,966.10mm,T,-90,TB6612FNG
TXS2,TXS0108,1014.54mm,959.77mm,T,180,TXS0108
