Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment
,,,,,,
A1,FIDUCIA-MOUNT,500.00mm,500.00mm,T,-90,A1
A2,FIDUCIA-MOUNT,461.62mm,440.32mm,T,-90,A2
A3,FIDUCIA-MOUNT,453.50mm,502.62mm,T,-90,A3
A4,FIDUCIA-MOUNT,553.34mm,500.00mm,T,-90,A1
A5,FIDUCIA-MOUNT,514.96mm,440.32mm,T,-90,A2
A6,FIDUCIA-MOUNT,506.84mm,502.62mm,T,-90,A3
A7,FIDUCIA-MOUNT,606.68mm,500.00mm,T,-90,A1
A8,FIDUCIA-MOUNT,568.30mm,440.32mm,T,-90,A2
A9,FIDUCIA-MOUNT,560.18mm,502.62mm,T,-90,A3
A10,FIDUCIA-MOUNT,500.00mm,568.58mm,T,-90,A1
A11,FIDUCIA-MOUNT,461.62mm,508.90mm,T,-90,A2
A12,FIDUCIA-MOUNT,453.50mm,571.20mm,T,-90,A3
A13,FIDUCIA-MOUNT,553.34mm,568.58mm,T,-90,A1
A14,FIDUCIA-MOUNT,514.96mm,508.90mm,T,-90,A2
A15,FIDUCIA-MOUNT,506.84mm,571.20mm,T,-90,A3
A16,FIDUCIA-MOUNT,606.68mm,568.58mm,T,-90,A1
A17,FIDUCIA-MOUNT,568.30mm,508.90mm,T,-90,A2
A18,FIDUCIA-MOUNT,560.18mm,571.20mm,T,-90,A3
A19,FIDUCIA-MOUNT,500.00mm,637.16mm,T,-90,A1
A20,FIDUCIA-MOUNT,461.62mm,577.48mm,T,-90,A2
A21,FIDUCIA-MOUNT,453.50mm,639.78mm,T,-90,A3
A22,FIDUCIA-MOUNT,553.34mm,637.16mm,T,-90,A1
A23,FIDUCIA-MOUNT,514.96mm,577.48mm,T,-90,A2
A24,FIDUCIA-MOUNT,506.84mm,639.78mm,T,-90,A3
A25,FIDUCIA-MOUNT,606.68mm,637.16mm,T,-90,A1
A26,FIDUCIA-MOUNT,568.30mm,577.48mm,T,-90,A2
A27,FIDUCIA-MOUNT,560.18mm,639.78mm,T,-90,A3
A28,FIDUCIA-MOUNT,500.00mm,705.74mm,T,-90,A1
A29,FIDUCIA-MOUNT,461.62mm,646.06mm,T,-90,A2
A30,FIDUCIA-MOUNT,453.50mm,708.36mm,T,-90,A3
A31,FIDUCIA-MOUNT,553.34mm,705.74mm,T,-90,A1
A32,FIDUCIA-MOUNT,514.96mm,646.06mm,T,-90,A2
A33,FIDUCIA-MOUNT,506.84mm,708.36mm,T,-90,A3
A34,FIDUCIA-MOUNT,606.68mm,705.74mm,T,-90,A1
A35,FIDUCIA-MOUNT,568.30mm,646.06mm,T,-90,A2
A36,FIDUCIA-MOUNT,560.18mm,708.36mm,T,-90,A3
