Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment
,,,,,,
A1,FIDUCIA-MOUNT,323.80mm,406.30mm,T,-90,A1
A2,FIDUCIA-MOUNT,285.42mm,346.62mm,T,-90,A2
A3,FIDUCIA-MOUNT,277.30mm,408.92mm,T,-90,A3
A4,FIDUCIA-MOUNT,377.14mm,406.30mm,T,-90,A1
A5,FIDUCIA-MOUNT,338.76mm,346.62mm,T,-90,A2
A6,FIDUCIA-MOUNT,330.64mm,408.92mm,T,-90,A3
A7,FIDUCIA-MOUNT,430.48mm,406.30mm,T,-90,A1
A8,FIDUCIA-MOUNT,392.10mm,346.62mm,T,-90,A2
A9,FIDUCIA-MOUNT,383.98mm,408.92mm,T,-90,A3
A10,FIDUCIA-MOUNT,323.80mm,474.88mm,T,-90,A1
A11,FIDUCIA-MOUNT,285.42mm,415.20mm,T,-90,A2
A12,FIDUCIA-MOUNT,277.30mm,477.50mm,T,-90,A3
A13,FIDUCIA-MOUNT,377.14mm,474.88mm,T,-90,A1
A14,FIDUCIA-MOUNT,338.76mm,415.20mm,T,-90,A2
A15,FIDUCIA-MOUNT,330.64mm,477.50mm,T,-90,A3
A16,FIDUCIA-MOUNT,430.48mm,474.88mm,T,-90,A1
A17,FIDUCIA-MOUNT,392.10mm,415.20mm,T,-90,A2
A18,FIDUCIA-MOUNT,383.98mm,477.50mm,T,-90,A3
C1,C0603-ROUND,302.46mm,399.95mm,T,90,100nF
C2,C0603-ROUND,313.77mm,399.95mm,T,90,100nF
C3,C0603-ROUND,295.61mm,385.34mm,T,180,1uF
C4,C0603-ROUND,316.56mm,389.66mm,T,90,100nF
C5,C0603-ROUND,318.59mm,401.22mm,T,90,100nF
C6,C0603-ROUND,283.16mm,369.22mm,T,90,100nF
C7,C0603-ROUND,311.23mm,399.95mm,T,90,100nF
C8,C0603-ROUND,369.90mm,389.66mm,T,90,100nF
C9,C0603-ROUND,298.02mm,399.95mm,T,90,100nF
C10,C0603-ROUND,355.80mm,399.95mm,T,90,100nF
C11,C0603-ROUND,371.93mm,401.22mm,T,90,100nF
C12,C0603-ROUND,336.50mm,369.22mm,T,90,100nF
C13,C0603-ROUND,348.95mm,385.34mm,T,180,1uF
C14,C0603-ROUND,351.36mm,399.95mm,T,90,100nF
C15,C0603-ROUND,367.11mm,399.95mm,T,90,100nF
C16,C0603-ROUND,364.57mm,399.95mm,T,90,100nF
C17,C0603-ROUND,423.24mm,389.66mm,T,90,100nF
C18,C0603-ROUND,409.14mm,399.95mm,T,90,100nF
C19,C0603-ROUND,425.27mm,401.22mm,T,90,100nF
C20,C0603-ROUND,389.84mm,369.22mm,T,90,100nF
C21,C0603-ROUND,402.29mm,385.34mm,T,180,1uF
C22,C0603-ROUND,404.70mm,399.95mm,T,90,100nF
C23,C0603-ROUND,420.45mm,399.95mm,T,90,100nF
C24,C0603-ROUND,417.91mm,399.95mm,T,90,100nF
C25,C0603-ROUND,316.56mm,458.24mm,T,90,100nF
