Part,Feeder,PickupHight,PickupSpeed,PickupDelay,PasteHight,PasteSpeed,PasteDelay,Visual,DeltaAngleAtFeeder1,FootPrintName,FootPrintValue
Opam_LM358_F1,1,1645,7,30,1475,7,10,High Spead,0,OpamFeeder1,1103806597384
LED_R_0603,3,1595,7,20,1529,7,10,High Spead,-270,LED0603,12884902209
R_R0_0805,4,1565,8,20,1200,8,15,High Spead,0,R0805,16777429
R_1M_0603,5,1550,8,5,1570,8,5,High Spead,0,R0603,16777216
R_R300_0603,6,1550,8,10,1570,8,10,High Spead,0,R0603,16777216
Tu_47uF,8,1645,7,30,1090,7,10,High Spead,0,C_TANTAN_6354,0
LED_Y_0603,10,1595,7,20,1529,7,10,High Spead,-270,LED0603,12884901888
R_1K_0603,11,1550,8,5,1570,8,5,High Spead,0,R0603,16777216
R_10K_0603,12,1550,8,5,1570,8,5,High Spead,0,R0603,16777216
C_100nF_104_0603,13,1540,7,15,1505,8,10,High Spead,0,C0603,16777216
R_4K7_0603,14,1550,8,5,1570,8,5,High Spead,0,16777216,16777216
C_1uF_0603,15,1540,7,15,1505,8,10,High Spead,0,C0603,16777216
FET_FDN340,16,1650,7,15,1485,7,10,High Spead,-270,SOT-23-Fet,12884901888
XTAL_16Mhz,17,1645,7,15,1500,8,10,High Spead,0,XTAL1206,16777216
AMS1117-3.3V_F19,19,1660,1,101,1445,7,25,Precise,-270,AMSF1,12884901888
Fuse_500mA_1206,21,1640,7,15,1525,8,10,High Spead,0,R1206,16777216
Diod_BAT54A_F22,22,1650,7,15,1485,7,15,High Spead,0,SOT-23-Fet,12884901888
L_4.7uH,26,1670,7,30,1200,8,10,High Spead,0,,
Btn_4x4x3_F27,27,1200,4,20,1200,9,0,Precise,0,,
XL1509-5_F43,43,1695,7,30,1445,7,15,High Spead,0,OpamFeeder1,1103806597384
CP2102_F45,45,1550,7,20,1535,7,15,Precise,90,QFN28_CP2102,1099511627776
Tu_100uF,47,1645,1,40,1090,7,10,High Spead,0,C_TANTAN_6354,0
Diod_BAT54A_F49,49,1550,7,15,1485,7,10,High Spead,-270,SOT-23-Fet,12884901888
DIOD_SS24,54,1615,4,20,1390,4,15,High Spead,0,SS24F1,0
test_cap_47uF,56,1200,8,0,1200,8,0,High Spead,0,,
test_diod_SS24,0,1200,8,0,1200,8,0,High Spead,0,,
Micro_usb,0,1475,3,50,1385,7,15,Precise,0,,
Mega2560,0,1845,4,25,1535,4,25,Precise,0,,
XL1509_5V_TRAY,0,1780,7,15,1445,7,10,Precise,0,OpamFeeder1,1103806597384
CP2102_TRAY,0,1835,4,15,1535,7,10,Precise,0,,
AMS1117-3.3V_TRAY,0,1750,7,25,1445,7,10,Precise,0,,
Button_SMD_TRAY,0,1780,7,25,1445,7,10,Precise,0,,
chuan_dauHut,0,1565,4,1,1200,4,1,High Spead,0,,
Opam_LM358_Tray,0,1780,7,15,1445,7,10,Precise,0,OpamFeeder1,1103806597384
Btn4x4x3_T8,0,1200,4,1,1200,4,1,Precise,0,,
un_use,0,1590,4,1,1200,4,1,High Spead,0,,
