NO.	Position	Norm	Part	Station	 X 	 Y 	Angle	Nozzle	Array	Mount
1	U5		Opam_LM358_F1	1	39714	45326	89.98	1	1	True
2	ON		LED_R_0603	3	34080	44697	-0.02	2	1	True
3	R1		R_1M_0603	5	37642	46916	89.98	3	1	True
4	R2		R_R300_0603	6	38900	44405	-0.02	4	1	True
5	C5		C_100nF_104_0603	13	35800	44450	-0.02	5	1	True
6	PC3		Tu_47uF	8	39852	47472	-90.02	6	1	True
7	TX		LED_Y_0603	10	38900	44654	179.98	2	1	True
8	R8		R_1K_0603	11	40404	45744	-0.02	3	1	True
9	R12		R_10K_0603	12	38178	46930	89.98	4	1	True
10	C1		C_100nF_104_0603	13	40351	43734	-0.02	5	1	True
11	L1		LED_Y_0603	10	38898	44136	179.98	2	1	True
12	R11		R_1K_0603	11	39328	44906	-0.02	3	1	True
13	R7		R_10K_0603	12	40010	44730	-0.02	4	1	True
14	C4		C_100nF_104_0603	13	37832	47674	-0.02	5	1	True
15	RX		LED_Y_0603	10	38900	44898	179.98	2	1	True
16	R10		R_1K_0603	11	39318	44662	-0.02	3	1	True
17	R6		R_10K_0603	12	39326	44418	-0.02	4	1	True
18	C3		C_100nF_104_0603	13	38898	43942	-0.02	5	1	True
19	R14		R_1K_0603	11	38900	45402	-0.02	2	1	True
20	R9		R_1K_0603	11	33674	44706	-0.02	3	1	True
21	R16		R_10K_0603	12	40404	45096	-0.02	4	1	True
22	C17		C_100nF_104_0603	13	40404	44742	-0.02	5	1	True
23	R15		R_4K7_0603	14	40404	45312	-0.02	2	1	True
24	C8		C_1uF_0603	15	39912	46036	-0.02	3	1	True
25	T2		FET_FDN340	16	40908	45666	-0.02	4	1	True
26	Y1		XTAL_16Mhz	17	37858	46926	-90.02	5	1	True
27	IC1		AMS1117-3.3V_TRAY	Tray:4	39130	46304	89.98	1	1	True
28	F2		Fuse_500mA_1206	21	41288	45780	89.98	2	1	True
29	D2		Diod_BAT54A_F22	22	38546	45070	-90.02	3	1	True
30	D3		Diod_BAT54A_F22	22	38546	45566	-90.02	4	1	True
31	L2		L_4.7uH	26	40264	46606	-90.02	6	1	True
32	C16		C_100nF_104_0603	13	40402	44516	-0.02	2	1	True
33	C6		C_100nF_104_0603	13	37766	45356	-0.02	3	1	True
34	C7		C_100nF_104_0603	13	40404	45528	-0.02	4	1	True
35	C9		C_100nF_104_0603	13	40400	46036	-0.02	5	1	True
36	PC4		Tu_100uF	47	39140	47472	89.98	6	1	True
37	D1		DIOD_SS24	54	39536	48106	-0.02	2	1	True
38	U3		XL1509_5V_TRAY	Tray:2	41162	46542	89.98	1	1	True
39	D4		DIOD_SS24	54	39534	46862	179.98	2	1	True
