Designator,Mid X,Mid Y,New_Angel,Rotation,Comment,ValueOld
A1,500.00mm,500.00mm,90,-90,un_use,A1
A2,461.62mm,440.32mm,NA,-90,A2,A2
A3,453.50mm,502.62mm,NA,-90,A3,A3
A4,553.34mm,500.00mm,90,-90,un_use,A1
A5,514.96mm,440.32mm,NA,-90,A2,A2
A6,506.84mm,502.62mm,NA,-90,A3,A3
A7,606.68mm,500.00mm,90,-90,un_use,A1
A8,568.30mm,440.32mm,NA,-90,A2,A2
A9,560.18mm,502.62mm,NA,-90,A3,A3
A10,500.00mm,568.58mm,90,-90,un_use,A1
A11,461.62mm,508.90mm,NA,-90,A2,A2
A12,453.50mm,571.20mm,NA,-90,A3,A3
A13,553.34mm,568.58mm,90,-90,un_use,A1
A14,514.96mm,508.90mm,NA,-90,A2,A2
A15,506.84mm,571.20mm,NA,-90,A3,A3
A16,606.68mm,568.58mm,90,-90,un_use,A1
A17,568.30mm,508.90mm,NA,-90,A2,A2
A18,560.18mm,571.20mm,NA,-90,A3,A3
A19,500.00mm,637.16mm,90,-90,un_use,A1
A20,461.62mm,577.48mm,NA,-90,A2,A2
A21,453.50mm,639.78mm,NA,-90,A3,A3
A22,553.34mm,637.16mm,90,-90,un_use,A1
A23,514.96mm,577.48mm,NA,-90,A2,A2
A24,506.84mm,639.78mm,NA,-90,A3,A3
A25,606.68mm,637.16mm,90,-90,un_use,A1
A26,568.30mm,577.48mm,NA,-90,A2,A2
A27,560.18mm,639.78mm,NA,-90,A3,A3
A28,500.00mm,705.74mm,90,-90,un_use,A1
A29,461.62mm,646.06mm,NA,-90,A2,A2
A30,453.50mm,708.36mm,NA,-90,A3,A3
A31,553.34mm,705.74mm,90,-90,un_use,A1
A32,514.96mm,646.06mm,NA,-90,A2,A2
A33,506.84mm,708.36mm,NA,-90,A3,A3
A34,606.68mm,705.74mm,90,-90,un_use,A1
A35,568.30mm,646.06mm,NA,-90,A2,A2
A36,560.18mm,708.36mm,NA,-90,A3,A3
C1,478.66mm,493.65mm,NA,90,100nF,100nF
C2,489.97mm,493.65mm,NA,90,100nF,100nF
C3,471.81mm,479.04mm,NA,180,1uF,1uF
C4,492.76mm,483.36mm,NA,90,100nF,100nF
C5,494.79mm,494.92mm,NA,90,100nF,100nF
C6,459.36mm,462.92mm,NA,90,100nF,100nF
C7,487.43mm,493.65mm,NA,90,100nF,100nF
C8,546.10mm,483.36mm,NA,90,100nF,100nF
C9,474.22mm,493.65mm,NA,90,100nF,100nF
C10,532.00mm,493.65mm,NA,90,100nF,100nF
C11,548.13mm,494.92mm,NA,90,100nF,100nF
C12,512.70mm,462.92mm,NA,90,100nF,100nF
C13,525.15mm,479.04mm,NA,180,1uF,1uF
C14,527.56mm,493.65mm,NA,90,100nF,100nF
C15,543.31mm,493.65mm,NA,90,100nF,100nF
C16,540.77mm,493.65mm,NA,90,100nF,100nF
C17,599.44mm,483.36mm,NA,90,100nF,100nF
C18,585.34mm,493.65mm,NA,90,100nF,100nF
C19,601.47mm,494.92mm,NA,90,100nF,100nF
C20,566.04mm,462.92mm,NA,90,100nF,100nF
C21,578.49mm,479.04mm,NA,180,1uF,1uF
C22,580.90mm,493.65mm,NA,90,100nF,100nF
C23,596.65mm,493.65mm,NA,90,100nF,100nF
C24,594.11mm,493.65mm,NA,90,100nF,100nF
C25,492.76mm,551.94mm,NA,90,100nF,100nF
C26,478.66mm,562.23mm,NA,90,100nF,100nF
C27,494.79mm,563.50mm,NA,90,100nF,100nF
C28,459.36mm,531.50mm,NA,90,100nF,100nF
C29,471.81mm,547.62mm,NA,180,1uF,1uF
C30,474.22mm,562.23mm,NA,90,100nF,100nF
C31,489.97mm,562.23mm,NA,90,100nF,100nF
C32,487.43mm,562.23mm,NA,90,100nF,100nF
C33,546.10mm,551.94mm,NA,90,100nF,100nF
C34,532.00mm,562.23mm,NA,90,100nF,100nF
C35,548.13mm,563.50mm,NA,90,100nF,100nF
C36,512.70mm,531.50mm,NA,90,100nF,100nF
C37,525.15mm,547.62mm,NA,180,1uF,1uF
C38,527.56mm,562.23mm,NA,90,100nF,100nF
C39,543.31mm,562.23mm,NA,90,100nF,100nF
C40,540.77mm,562.23mm,NA,90,100nF,100nF
C41,599.44mm,551.94mm,NA,90,100nF,100nF
C42,585.34mm,562.23mm,NA,90,100nF,100nF
C43,601.47mm,563.50mm,NA,90,100nF,100nF
C44,566.04mm,531.50mm,NA,90,100nF,100nF
C45,578.49mm,547.62mm,NA,180,1uF,1uF
C46,580.90mm,562.23mm,NA,90,100nF,100nF
C47,596.65mm,562.23mm,NA,90,100nF,100nF
C48,594.11mm,562.23mm,NA,90,100nF,100nF
C49,492.76mm,620.52mm,NA,90,100nF,100nF
C50,478.66mm,630.81mm,NA,90,100nF,100nF
C51,494.79mm,632.08mm,NA,90,100nF,100nF
C52,459.36mm,600.08mm,NA,90,100nF,100nF
C53,471.81mm,616.20mm,NA,180,1uF,1uF
C54,474.22mm,630.81mm,NA,90,100nF,100nF
C55,489.97mm,630.81mm,NA,90,100nF,100nF
C56,487.43mm,630.81mm,NA,90,100nF,100nF
