Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment
,,,,,,
A1,FIDUCIA-MOUNT,1000.00mm,1000.00mm,T,0,A1
A2,FIDUCIA-MOUNT,1059.68mm,961.62mm,T,0,A2
A3,FIDUCIA-MOUNT,997.38mm,953.50mm,T,0,A3
C1,C0603-ROUND,1006.35mm,978.66mm,T,180,100nF
C2,C0603-ROUND,1006.35mm,989.97mm,T,180,100nF
C3,C0603-ROUND,1020.95mm,971.81mm,T,-90,1uF
C4,C0603-ROUND,1016.64mm,992.76mm,T,180,100nF
C5,C0603-ROUND,1005.08mm,994.79mm,T,180,100nF
C6,C0603-ROUND,1037.08mm,959.36mm,T,180,100nF
C7,C0603-ROUND,1006.35mm,987.43mm,T,180,100nF
C9,C0603-ROUND,1006.35mm,974.22mm,T,180,100nF
D1,SMB,1015.24mm,952.88mm,T,180,SS24
D2,SMB,1014.41mm,965.52mm,T,0,SS24
D3,SOT23,1051.37mm,978.16mm,T,180,BAT54A
D4,SOT23,1046.04mm,978.16mm,T,0,BAT54A
F1,R1206,997.71mm,976.12mm,T,90,CAUCHI
IC1,MLP28,1011.68mm,992.51mm,T,0,CP2101
IC2,SOT223,1015.11mm,971.74mm,T,-90,REG1117
L,CHIP-LED0603,1021.46mm,992.76mm,T,-90,YELLOW
L2,INDUCTOR-NEOSID_MS50,1006.86mm,969.29mm,T,180,4.7uH
ON,CHIP-LED0603,1052.07mm,988.00mm,T,-90,GREEN
PC1,PANASONIC_D,1019.18mm,959.23mm,T,90,100uF
PC3,PANASONIC_D,1012.06mm,959.23mm,T,90,47uF
R2,R0603-ROUND,1034.92mm,972.82mm,T,180,1M
R6,R0603,1016.64mm,990.47mm,T,180,10k
R7,R0603,1010.16mm,987.43mm,T,0,10k
R8,R0603,1006.35mm,976.50mm,T,180,1k
R9,R0603,1051.50mm,981.58mm,T,0,300R
R10,R0603,1014.22mm,985.01mm,T,0,1k
R11,R0603,1014.22mm,987.43mm,T,0,1k
R12,R0603,1021.34mm,980.70mm,T,0,10k
R13,R0603,1052.07mm,986.28mm,T,0,1k
R14,R0603,1021.34mm,978.03mm,T,180,1k
R15,R0603,1006.35mm,980.95mm,T,180,4.7K
R16,R0603,1006.35mm,983.24mm,T,0,10k
RESET,BUTTON_4*4*1.5,1000.00mm,999.49mm,T,0,BUTTON_44*1.5
RX,CHIP-LED0603,1021.46mm,982.85mm,T,-90,YELLOW
T1,SOT-23,1001.52mm,977.27mm,T,-90,FDN340P
TX,CHIP-LED0603,1021.46mm,985.14mm,T,-90,YELLOW
U$2,VIETDUINO_MICRO_USBV2,995.05mm,987.43mm,T,-90,VIETDUINO_USB_MICRO
U3,VIETDUINO_XL1509_PAC,998.98mm,968.50mm,T,90,XL1509
U5,SO08,1013.46mm,980.57mm,T,-90,LMV358IDGKR
Y2,RESONATOR,1034.92mm,974.98mm,T,0,CSTCE16M0V53-R0 16MHZ
