Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment
,,,,,,
A1,FIDUCIA-MOUNT,100.00mm,100.00mm,T,-90,A1
A2,FIDUCIA-MOUNT,61.62mm,40.32mm,T,-90,A2
A3,FIDUCIA-MOUNT,53.50mm,102.62mm,T,-90,A3
C1,C0603-ROUND,78.66mm,93.65mm,T,90,100nF
C2,C0603-ROUND,89.97mm,93.65mm,T,90,100nF
C3,C0603-ROUND,71.81mm,79.04mm,T,180,1uF
C4,C0603-ROUND,92.76mm,83.36mm,T,90,100nF
C5,C0603-ROUND,94.79mm,94.92mm,T,90,100nF
C6,C0603-ROUND,59.36mm,62.92mm,T,90,100nF
C7,C0603-ROUND,87.43mm,93.65mm,T,90,100nF
C9,C0603-ROUND,74.22mm,93.65mm,T,90,100nF
D1,SMB,52.88mm,84.76mm,T,90,SS24
D2,SMB,65.52mm,85.59mm,T,-90,SS24
D3,SOT23,78.16mm,48.63mm,T,90,BAT54_A
D4,SOT23,78.16mm,53.96mm,T,-90,BAT54_A
F1,R1206,76.12mm,102.29mm,T,0,500mA
IC1,MLP28,92.51mm,88.32mm,T,-90,CP2102
IC2,SOT223,71.74mm,84.89mm,T,180,AMS1117-3V
L,CHIP-LED0603,92.76mm,78.54mm,T,180,YELLOW
L2,INDUCTOR-NEOSID_MS50,69.29mm,93.14mm,T,90,4.7uH
ON,CHIP-LED0603,88.00mm,47.93mm,T,180,GREEN
PC1,PANASONIC_D,59.23mm,80.82mm,T,0,100uF
PC3,PANASONIC_D,59.23mm,87.94mm,T,0,47uF
R2,R0603-ROUND,72.82mm,65.07mm,T,90,1M
R6,R0603,90.47mm,83.36mm,T,90,10k
R7,R0603,87.43mm,89.84mm,T,-90,10k
R8,R0603,76.50mm,93.65mm,T,90,1k
R9,R0603,81.59mm,48.50mm,T,-90,300R
R10,R0603,85.01mm,85.78mm,T,-90,1k
R11,R0603,87.43mm,85.78mm,T,-90,1k
R12,R0603,80.70mm,78.66mm,T,-90,10k
R13,R0603,86.28mm,47.93mm,T,-90,1k
R14,R0603,78.03mm,78.66mm,T,90,1k
R15,R0603,80.95mm,93.65mm,T,90,4.7K
R16,R0603,83.24mm,93.65mm,T,-90,10k
RESET,BUTTON_4*4*1.5,99.49mm,100.00mm,T,-90,MAKER_SPACE_HNAOAB_BUTTON_44*1.5
RX,CHIP-LED0603,82.85mm,78.54mm,T,180,YELLOW
T1,SOT-23,77.27mm,98.48mm,T,180,FDN340P
TX,CHIP-LED0603,85.14mm,78.54mm,T,180,YELLOW
U$2,VIETDUINO_MICRO_USBV2,87.43mm,104.95mm,T,180,VIETDUINO_USB_MICRO
U3,VIETDUINO_XL1509_PAC,68.50mm,101.02mm,T,0,XL1509
U5,SO08,80.57mm,86.54mm,T,180,LMV358IDGKR
Y2,RESONATOR,74.98mm,65.07mm,T,-90,CSTCE16M0V53-R0 16MHZ
